zid,zid_attr,id,id_attr,building_name,name,name_read,name_read_through,name_initial_code,phone_number,post_code,address_code,address_code1,address_code2,address_code3,address_code4,address_code5,address_detail_code1,address_detail_code2,address,building_type,endearing_name_type,language_code,entrance_point/0/0,entrance_point/0/1,arrival_point/0/0,arrival_point/0/1,genre_code,main_genre_name,all_genre_name,position/0,position/1,distance,entrance_point,arrival_point,entrance_point/1/0,entrance_point/1/1,arrival_point/1/0,arrival_point/1/1,arrival_point/2/0,arrival_point/2/1,entrance_point/2/0,entrance_point/2/1,arrival_point/3/0,arrival_point/3/1
309098570781342979,1749746353375807561,0000309098570781342979,0001749746353375807561,,上林公園,,,99,,,431010170000000200009,JPN,43,101,017,000,00002,00009,熊本県熊本市中央区上林町2-38,7,7,ja,130.7099972873,32.807933214,130.710198839,32.8078843859,00070:0007000050; ,0007000050:公園・緑地,レジャー;公園・緑地;,130.7099986437,32.8079361979,,,,,,,,,,,,,
309495494478999811,1751686991398837400,0000309495494478999811,0001751686991398837400,,香川第二有料駐車場,,カガワダイニユウリョウチュウシャジョウ,99,,,431010950000000900003,JPN,43,101,095,000,00009,00003,熊本県熊本市中央区南坪井町9-5,7,7,ja,130.7135403103,32.8084814453,130.7134708659,32.8084787326,00010:0001000060; ,0001000060:駐車場,交通;駐車場;,130.7137011719,32.8084662543,,,,,,,,,,,,,
306408065828160089,1748440133562643062,0000306408065828160089,0001748440133562643062,,上通コインパーク2F,,カミトオリコインパークニエフ,99,092-441-7903,,4310101600000005,JPN,43,101,016,000,00005,,熊本県熊本市中央区上通町5,1,1,ja,130.7122639974,32.8035983615,130.7122458225,32.803581543,00010:0001000060; ,0001000060:駐車場,交通;駐車場;,130.7123825412,32.8037027995,,,,,,,,,,,,,
1749791955191297562,1749791433352771107,0001749791955191297562,0001749791433352771107,,しらかわのほとり白川公園専用駐車場,,,99,,,431010240000000500001,JPN,43,101,024,000,00005,00001,熊本県熊本市中央区草葉町5-1,7,7,ja,,,,,00010:0001000120; ,0001000120:その他駐車場,交通;その他駐車場;,130.7157798937,32.8046628147,,,,,,,,,,,,,
1750100917958483399,1750100396119956936,0001750100917958483399,0001750100396119956936,,ザ・パーク草葉町駐車場,,ザパーククサバチョウチュウシャジョウ,99,,,431010240000000300001,JPN,43,101,024,000,00003,00001,熊本県熊本市中央区草葉町3-1,7,7,ja,130.7128390842,32.8060191515,130.7128355577,32.8060053168,00010:0001000060; ,0001000060:駐車場,交通;駐車場;,130.7128564453,32.806110026,,,,,,,,,,,,,
1750738634702755662,1750738112864229221,0001750738634702755662,0001750738112864229221,,月極駐車場,,ツキギメチュウシャジョウ,99,,,431010170000000200007,JPN,43,101,017,000,00002,00007,熊本県熊本市中央区上林町2-32,7,7,ja,130.7100537109,32.8083447266,130.7102878147,32.8082288954,00010:0001000110; ,0001000110:月極駐車場,交通;月極駐車場;,130.7100621202,32.8083599175,,,,,,,,,,,,,
1750738634702755744,1750738112864229351,0001750738634702755744,0001750738112864229351,,月極有料駐車場,,ツキギメユウリョウチュウシャジョウ,99,,,431010170000000100004,JPN,43,101,017,000,00001,00004,熊本県熊本市中央区上林町1-19,7,7,ja,130.7114233398,32.8073933919,130.7114423286,32.8075447591,00010:0001000110; ,0001000110:月極駐車場,交通;月極駐車場;,130.7114222548,32.8074039714,,,,,,,,,,,,,
1750241655446874144,1750241133608347709,0001750241655446874144,0001750241133608347709,,月極有料駐車場ディフェンダープール,,ツキギメユウリョウチュウシャジョウディフェンダープール,99,,,431010590000001300003,JPN,43,101,059,000,00013,00003,熊本県熊本市中央区水道町13-2,7,7,ja,130.7140177409,32.8043459744,130.7139089627,32.8043853082,00010:0001000110; ,0001000110:月極駐車場,交通;月極駐車場;,130.714018826,32.8043484158,,,,,,,,,,,,,
1750241655446874162,1750241133608347727,0001750241655446874162,0001750241133608347727,,月極有料駐車場,,ツキギメユウリョウチュウシャジョウ,99,,,431010160000001000010,JPN,43,101,016,000,00010,00010,熊本県熊本市中央区上通町10-22,7,7,ja,130.7121443685,32.8060967339,130.7121663411,32.806180013,00010:0001000110; ,0001000110:月極駐車場,交通;月極駐車場;,130.7121454536,32.8060975477,,,,,,,,,,,,,
1751045398446956522,1751044876608430108,0001751045398446956522,0001751044876608430108,,ザ・パーク南坪井町駐車場,,ザパークミナミツボイマチチュウシャジョウ,99,,,431010950000000100001,JPN,43,101,095,000,00001,00001,熊本県熊本市中央区南坪井町1-1,7,7,ja,130.7122854275,32.8068237305,130.712280816,32.806805013,00010:0001000060; ,0001000060:駐車場,交通;駐車場;,130.7123177083,32.8070046658,,,,,,,,,,,,,
1752292244632823010,1752291722794296649,0001752292244632823010,0001752291722794296649,,スパーク熊本上通駐車場,,スパーククマモトカミトオリチュウシャジョウ,99,,,431010160000001100011,JPN,43,101,016,000,00011,00011,熊本県熊本市中央区上通町11-4,7,7,ja,130.71220676,32.8065861003,130.7122620985,32.8068096246,00010:0001000060; ,0001000060:駐車場,交通;駐車場;,130.7121628147,32.8065912543,,,,,,,,,,,,,
