zid,zid_attr,building_name,name,name_read_through,post_code,address_code,address,room_count,tenant_floor_type,tenant_floor,tenant_floor_num,tenant_room_name,building_type,building_use,building_use_level,building_top_floor_num,building_bottom_floor_num,position/0,position/1,area_size,total_area_size,distance,build_year,build_year_month_level,building_structure1,building_structure2,building_structure_level,ownership_type,ownership_type_level
309353651841853572,309096949431286861,蚕糸会館,蚕糸会館,,860-0845,431010160000000700015,熊本県熊本市中央区上通町7-32,13,0,,,,3,3006,D,3,0,130.7119327799,32.8046001519,520,1560,,1996,D,0,,D,,
309353651841861445,310146983035704770,夢飾人,夢飾人,,860-0847,431010170000000300007,熊本県熊本市中央区上林町3-27,1,0,,,,3,2000,D,1,-1,130.7118188477,32.8083816189,31,31,,1996,D,1,,D,,
309353651841860120,1749191100003783219,日本三洋印章,日本三洋印章,,860-0847,431010170000000200005,熊本県熊本市中央区上林町2-23,1,0,,,,3,3001,D,3,0,130.7105086263,32.8086897786,72,216,,1996,D,0,,D,,
309353651841852689,309096949431283830,長崎書店ビル,長崎書店ビル,,860-0845,431010160000000600007,熊本県熊本市中央区上通町6-23,15,0,,,,3,3006,D,3,0,130.7107147895,32.804749349,983,2949,,1996,D,0,,D,,
309353651841853451,1,,,,860-0845,431010160000000700009,熊本県熊本市中央区上通町7-19,1,0,,,,3,1001,D,2,-1,130.7119897461,32.8049359809,131,262,,1996,D,1,,D,,
309353651841853281,1751969565887268760,LiviBossa,LiviBossa,,860-0848,431010950000000300008,熊本県熊本市中央区南坪井町3-2,,0,,,,3,2000,D,2,-1,130.7133007813,32.8071674262,83,166,,1996,D,0,,D,,
309353651841861350,310146983035704490,古酒家和来,古酒家和来,,860-0848,431010950000000500019,熊本県熊本市中央区南坪井町5-6,,0,,,,3,2000,D,1,-1,130.7124880642,32.8079348416,43,43,,1996,D,1,,D,,
309353651841852873,310150281570636550,ビューティサロン川辺,ビューティサロン川辺,,860-0846,431010510000000500026,熊本県熊本市中央区城東町5-53,,0,,,,3,2000,D,2,-1,130.710824924,32.8058062066,77,154,,1996,D,0,,D,,
309353651841861352,310146983035704497,セキュリティライフ,セキュリティライフ,,860-0848,431010950000000100020,熊本県熊本市中央区南坪井町1-9,,0,,,,3,2000,D,1,-1,130.7122254774,32.8073765734,40,40,,1996,D,1,,D,,
309353651841861256,1752009148305800073,ヘアーカットワン,ヘアーカットワン,,860-0848,431010950000000700007,熊本県熊本市中央区南坪井町7-17,1,0,,,,3,3001,D,2,-1,130.7132902018,32.8079665799,130,260,,1996,D,1,,D,,
309353651841853222,309096949431285278,松藤旅館,松藤旅館,,860-0845,431010160000000700007,熊本県熊本市中央区上通町7-16,,0,,,,3,2000,D,2,-1,130.7119561089,32.8051925998,116,232,,1996,D,0,,D,,
309353651841861275,310146983035704035,料理仕出し魚住,料理仕出し魚住,,860-0848,431010950000000600003,熊本県熊本市中央区南坪井町6-11,,0,,,,3,2000,D,3,-1,130.7125672743,32.8081469727,105,315,,1996,D,0,,D,,
309353651841853287,1749946464492483354,にくたらしジュニア,にくたらしジュニア,,860-0845,431010160000000900005,熊本県熊本市中央区上通町9-16,,0,,,,3,2000,D,2,-1,130.7123231337,32.8054516602,42,84,,1996,D,1,,D,,
309353651841853117,309096949431284715,Dグランセ上通り表参道,Dグランセ上通り表参道,,860-0844,431010590000000100011,熊本県熊本市中央区水道町1-7,,0,,,,3,1002,B,13,-1,130.7127186415,32.8031342231,399,5187,,2006,B,0,3,B,2,B
309353651841861422,1,,,,860-0847,431010170000000300018,熊本県熊本市中央区上林町3-43,1,0,,,,3,1001,D,3,-1,130.7117518446,32.8075868056,73,219,,1996,D,0,,D,,
309353651841853017,1,,,,860-0845,431010160000000500010,熊本県熊本市中央区上通町5-36,1,0,,,,3,1001,D,1,-1,130.712527398,32.8036878798,174,174,,1996,D,1,,D,,
309353651841852828,310150281570636387,甲玉堂,甲玉堂,,860-0845,431010160000000100006,熊本県熊本市中央区上通町1-18,,0,,,,3,2000,D,3,-1,130.7103564453,32.8035365126,137,411,,2004,D,0,,D,,
309353651841853371,1,,,,860-0845,431010160000000700012,熊本県熊本市中央区上通町7-22,1,0,,,,3,1001,D,3,-1,130.7122111003,32.8050420464,48,144,,1996,D,0,,D,,
309353651841853033,1,,,,860-0844,431010590000001400002,熊本県熊本市中央区水道町14-10,,0,,,,3,9999,D,1,-1,130.7150651042,32.8040180122,14,14,,1996,D,1,,D,,
309353651841853430,1751044876608430083,フォルムアイ熊本店,フォルムアイ熊本店,,860-0845,431010160000000800005,熊本県熊本市中央区上通町8-17,,0,,,,3,2000,D,2,-1,130.7113552517,32.8060682509,82,164,,1996,D,0,,D,,
309353651841861166,1,,,,860-0848,431010950000001000003,熊本県熊本市中央区南坪井町10-14,1,0,,,,3,1001,D,1,-1,130.7142616102,32.8084583876,54,54,,1996,D,1,,D,,
309353651841853155,1,,,,860-0844,431010590000000300012,熊本県熊本市中央区水道町3-38,1,0,,,,3,1001,D,1,-1,130.7122634549,32.8044628906,147,147,,1996,D,1,,D,,
309353651841853105,309096949431284669,EASTONE BUILD,EASTONE BUILD,,860-0844,431010590000000100012,熊本県熊本市中央区水道町1-9,6,0,,,,3,3006,D,3,0,130.7127883572,32.8032834201,298,894,,1996,D,0,,D,,
309353651841861230,310146983035703947,ヘアーサロン西山,ヘアーサロン西山,,860-0848,431010950000000700003,熊本県熊本市中央区南坪井町7-11,,0,,,,3,2000,D,2,-1,130.7133865017,32.8082419162,70,140,,1996,D,0,,D,,
309353651841853477,309096949431286497,CITY-2ビル,CITY-2ビル,,860-0843,431010240000000100005,熊本県熊本市中央区草葉町1-3,1,0,,,,3,2000,D,6,-1,130.7126698134,32.8053396267,1538,9228,,1996,D,0,,D,,
309353651841853478,309096949431286501,DOROビル,DOROビル,,860-0844,431010590000000400011,熊本県熊本市中央区水道町4-3,6,0,,,,3,3006,D,2,2,130.7124842665,32.8049660916,194,776,,1996,D,0,,D,,
309353651841861421,1,,,,860-0847,431010170000000300013,熊本県熊本市中央区上林町3-37,1,0,,,,3,1001,D,2,-1,130.7119664171,32.8078694661,75,150,,1996,D,1,,D,,
309353651841852700,309096949431283874,㈲堤酒店,㈲堤酒店,,860-0845,431010160000000800013,熊本県熊本市中央区上通町8-26,,0,,,,3,2000,D,2,-1,130.710941569,32.805664605,113,226,,1996,D,0,,D,,
1749946980693865200,1749946464492483371,熊八長屋,熊八長屋,,860-0845,431010160000000500013,熊本県熊本市中央区上通町5-41,6,0,,,,3,3006,D,3,-1,130.7119387478,32.8039008247,92,276,,2021,D,0,,D,,
309353651841853403,1,,,,860-0843,431010240000000300008,熊本県熊本市中央区草葉町3-9,1,0,,,,3,1001,D,2,-1,130.713323839,32.8062093099,142,284,,1996,D,1,,D,,
309353651841853106,309096949431284678,ヴィラージュ,ヴィラージュ,,860-0844,431010590000000100005,熊本県熊本市中央区水道町1-19,15,0,,,,3,3006,D,3,0,130.7129937066,32.8030683051,565,1695,,1996,D,0,,D,,
309353651841853219,1751158126305873265,ひばち,ひばち,,860-0845,431010160000000800004,熊本県熊本市中央区上通町8-16,1,0,,,,3,2000,D,0,-1,130.7113780382,32.8061016168,75,75,,1996,D,0,,D,,
309353651841861266,1749191100003783317,カミナリ酒場,カミナリ酒場,,860-0848,431010950000000600002,熊本県熊本市中央区南坪井町6-10,2,0,,,,3,3001,D,3,-1,130.7126133898,32.8082354058,21,63,,1996,D,0,,D,,
309353651841853466,1748883236748195472,弁才天,弁才天,,860-0848,431010950000000400004,熊本県熊本市中央区南坪井町4-16,,0,,,,3,2000,D,2,-1,130.7145106337,32.8072520616,130,260,,1996,D,0,,D,,
309353651841852806,310150281570636265,求人案内通町ビル,求人案内通町ビル,,860-0846,431010510000000200002,熊本県熊本市中央区城東町2-18,10,0,,,,3,3006,D,9,0,130.7097197808,32.8037011719,277,2493,,1998,D,0,,D,,
309353651841860119,1,,,,860-0847,431010170000000200006,熊本県熊本市中央区上林町2-26,1,0,,,,3,1001,D,2,-1,130.7105737305,32.8086775716,76,152,,1996,D,1,,D,,
309353651841861424,1,,,,860-0847,431010170000000300019,熊本県熊本市中央区上林町3-44,1,0,,,,3,1001,D,2,-1,130.7116867405,32.8075900608,70,140,,1996,D,1,,D,,
309353651841853443,309096949431286382,柴田・斉藤・山野法律事務所,柴田・斉藤・山野法律事務所,,860-0843,431010240000000200009,熊本県熊本市中央区草葉町2-27,2,0,,,,3,3001,D,2,-1,130.7136821832,32.8056399197,178,356,,1996,D,1,,D,,
309353651841853312,310146983035701272,専光寺,専光寺,,860-0848,431010950000000100009,熊本県熊本市中央区南坪井町1-21,,0,,,,3,2000,D,2,-1,130.7128540039,32.8071481662,615,1230,,1996,D,0,,D,,
309353651841853576,1747911268469085656,ラッシュグラス,ラッシュグラス,,860-0844,431010590000001200003,熊本県熊本市中央区水道町12-30,,0,,,,3,2000,D,1,-1,130.7145556641,32.8039941406,54,54,,2009,D,0,,D,,
309353651841861453,310146983035704799,夢殿,夢殿,,860-0847,431010170000000300020,熊本県熊本市中央区上林町3-45,,0,,,,3,2000,D,4,-1,130.7118180339,32.8078851997,505,2020,,1996,D,0,,D,,
309353651841852836,310150281570636413,井上№1ビル,井上№1ビル,,860-0845,431010160000000400009,熊本県熊本市中央区上通町4-18,9,0,,,,3,3006,D,4,1,130.7105249023,32.8040578885,241,1205,,1998,D,0,,D,,
309353651841853291,1,,,,860-0848,431010950000000400006,熊本県熊本市中央区南坪井町4-22,1,0,,,,3,1001,D,2,-1,130.7142692057,32.8067399089,167,334,,1996,D,1,,D,,
309353651841853381,309096949431286077,YOKO BACHI,YOKO BACHI,,860-0845,431010160000001100006,熊本県熊本市中央区上通町11-20,,0,,,,3,2000,D,1,-1,130.7127593316,32.8064388021,101,101,,1996,D,0,,D,,
309353651841853330,1,,,,860-0843,431010240000000400006,熊本県熊本市中央区草葉町4-28,1,0,,,,3,1001,D,2,-1,130.7137003581,32.8058691406,109,218,,1996,D,1,,D,,
309353651841852843,310150281570636431,サトークリーニング,サトークリーニング,,860-0846,431010510000000500032,熊本県熊本市中央区城東町5-61,,0,,,,3,2000,D,2,-1,130.7103765191,32.8060940213,46,92,,1996,D,1,,D,,
309353651841853375,309096949431286013,NKビルナミキザカ,NKビルナミキザカ,,860-0848,431010950000000100001,熊本県熊本市中央区南坪井町1-1,7,0,,,,3,3006,D,5,0,130.7119791667,32.8069718424,361,1805,,1996,D,0,,D,,
309353651841853009,1,,,,860-0845,431010160000000500011,熊本県熊本市中央区上通町5-4,1,0,,,,3,1001,D,0,-1,130.7112055122,32.8041444227,125,125,,1999,D,1,,D,,
309353651841860111,1749191100003783218,月極駐車場,月極駐車場,,860-0847,431010170000000100021,熊本県熊本市中央区上林町1-45,1,0,,,,3,1001,D,2,-1,130.7100645616,32.8074012587,112,224,,1996,D,1,,D,,
309353651841853056,1,,,,860-0844,431010590000000300010,熊本県熊本市中央区水道町3-32,1,0,,,,3,1001,D,1,-1,130.7127056207,32.8043212891,393,393,,1996,D,1,,D,,
309353651841861160,1,,,,860-0848,431010950000000900001,熊本県熊本市中央区南坪井町9-12,1,0,,,,3,1001,D,2,-1,130.71404324,32.8083772786,150,300,,1996,D,1,,D,,
309353651841853560,309096949431286852,ボーノボーノビル,ボーノボーノビル,,860-0846,431010510000000500016,熊本県熊本市中央区城東町5-41,3,0,,,,3,3006,D,4,0,130.7114792209,32.8065207248,124,496,,1996,D,0,,D,,
309353651841853309,1,,,,860-0843,431010240000000100002,熊本県熊本市中央区草葉町1-15,1,0,,,,3,1001,D,2,-1,130.7133224826,32.8050729709,77,154,,1996,D,1,,D,,
309353651841852827,310150281570636383,ソネットビル,ソネットビル,,860-0845,431010160000000100005,熊本県熊本市中央区上通町1-17,3,0,,,,3,3006,D,3,0,130.7103971354,32.8036257595,181,543,,1996,D,0,,D,,
309353651841853348,309096949431285943,ビア・レストラン壱之倉庫,ビア・レストラン壱之倉庫,,860-0848,431010950000000200011,熊本県熊本市中央区南坪井町2-8,,0,,,,3,2000,D,2,-1,130.7134214952,32.8066655816,170,340,,1996,D,0,,D,,
309353651841852956,1747911268469085605,セイワビル,セイワビル,,860-0848,431010950000000300009,熊本県熊本市中央区南坪井町3-3,4,0,,,,3,3006,D,3,0,130.7133572049,32.8072520616,229,687,,1996,D,0,,D,,
309353651841853072,309096949431284418,上通りイーストンビル,上通りイーストンビル,,860-0845,431010160000000500014,熊本県熊本市中央区上通町5-46,16,0,,,,3,3006,D,4,0,130.7114873589,32.8039648438,471,1884,,2005,B,0,3,B,,
309353651841852681,1752291722794296422,甘味処 鎌倉,甘味処 鎌倉,,860-0845,431010160000000200008,熊本県熊本市中央区上通町2-8,,0,,,,3,2000,D,0,-1,130.7108865017,32.8037679036,111,111,,1996,D,0,,D,,
309353651841852818,310150281570636352,紅蘭亭,紅蘭亭,,860-0845,431010160000000100013,熊本県熊本市中央区上通町1-7,,0,,,,3,2000,D,1,-1,130.7101608615,32.8038267687,201,201,,1996,D,0,,D,,
309353651841853142,309096949431285068,メガネの大宝堂上通本店,メガネの大宝堂上通本店,,860-0845,431010160000000500018,熊本県熊本市中央区上通町5-7,1,0,,,,3,2000,D,4,-1,130.7111271159,32.8044268121,308,1232,,1996,D,0,,D,,
309353651841852963,1749191100003782530,ジャズおくら,ジャズおくら,,860-0848,431010950000000100004,熊本県熊本市中央区南坪井町1-12,1,0,,,,3,2000,D,2,-1,130.7125303819,32.8073310004,60,120,,1996,D,0,,D,,
309353651841853046,309096949431284249,朝日生命熊本ビル,朝日生命熊本ビル,,860-0844,431010590000000800009,熊本県熊本市中央区水道町8-6,29,0,,,,3,3006,D,11,0,130.7137736003,32.8031526693,1004,11044,,1996,D,0,,D,,
309353651841853498,309096949431286535,博多もつ鍋大山,博多もつ鍋大山,,860-0843,431010240000000200002,熊本県熊本市中央区草葉町2-2,,0,,,,3,2000,D,2,-1,130.7126060655,32.8058311632,82,164,,1996,D,0,,D,,
309353651841852947,310150281570636673,ビアーレビル,ビアーレビル,,860-0845,431010160000000400010,熊本県熊本市中央区上通町4-24,7,0,,,,3,3006,D,3,0,130.7105794271,32.8039849175,341,1023,,1998,D,0,,D,,
309353651841853488,309096949431286531,今村種苗園,今村種苗園,,860-0843,431010240000000200003,熊本県熊本市中央区草葉町2-20,,0,,,,3,2000,D,2,-1,130.7139756944,32.8055951606,328,656,,1996,D,0,,D,,
309353651841860118,310056823082231073,BAYBROOK CO LTD,BAYBROOK CO LTD,,860-0847,431010170000000100018,熊本県熊本市中央区上林町1-38,,0,,,,3,2000,D,4,-1,130.7109323459,32.8073855252,155,620,,2000,D,0,,D,,
309353651841852688,309096949431283814,村上屋ビル,村上屋ビル,,860-0845,431010160000000500017,熊本県熊本市中央区上通町5-6,13,0,,,,3,3006,D,3,0,130.7109692383,32.8043060981,387,1161,,1996,D,0,,D,,
309353651841853604,309096949431287204,プレミスト白川公園,プレミスト白川公園,,860-0844,431010590000001500001,熊本県熊本市中央区水道町15-20,,0,,,,3,1002,B,13,-1,130.7159171549,32.8044184028,1032,13416,,2008,B,0,3,B,1,B
